ID,Marital status,Gender, Income ,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age_Bracket,Purchased Bike
26941,Maried,M," $30,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Middle Age,Yes
28412,Single,M," $20,000 ",0,High School,Manual,No,1,2-5 Miles,Europe,29,Adolecent,No
24485,Single,M," $40,000 ",2,Bachelors,Management,No,1,5-10 Miles,Pacific,52,Middle Age,Yes
16514,Single,M," $10,000 ",0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Adolecent,Yes
17191,Single,M," $130,000 ",3,Partial College,Professional,No,3,0-1 Miles,Europe,51,Middle Age,Yes
19608,Maried,M," $80,000 ",5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,Middle Age,No
24119,Single,M," $30,000 ",0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,Adolecent,No
25458,Maried,M," $20,000 ",1,High School,Manual,No,1,1-2 Miles,Europe,40,Middle Age,Yes
26886,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Adolecent,Yes
28436,Single,M," $30,000 ",0,Partial College,Clerical,No,1,0-1 Miles,Europe,30,Adolecent,Yes
19562,Single,Female," $60,000 ",2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,Middle Age,Yes
15608,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,2-5 Miles,Europe,33,Middle Age,No
16487,Single,Female," $30,000 ",3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,Middle Age,No
17197,Single,Female," $90,000 ",5,Partial College,Professional,Yes,2,More than 10 miles,Europe,62,Old,No
12507,Maried,M," $30,000 ",1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,Middle Age,No
23940,Maried,M," $40,000 ",1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,44,Middle Age,Yes
19441,Maried,M," $40,000 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,25,Adolecent,Yes
26852,Maried,Female," $20,000 ",3,High School,Manual,Yes,2,0-1 Miles,Europe,43,Middle Age,No
12274,Single,M," $10,000 ",2,High School,Manual,Yes,0,0-1 Miles,Europe,35,Middle Age,No
20236,Single,M," $60,000 ",3,Bachelors,Professional,No,2,0-1 Miles,Pacific,43,Middle Age,Yes
24149,Maried,M," $10,000 ",2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,Middle Age,No
26139,Single,M," $60,000 ",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45,Middle Age,No
18491,Single,Female," $70,000 ",2,High School,Professional,Yes,2,5-10 Miles,Pacific,49,Middle Age,Yes
22707,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,Adolecent,No
20430,Maried,M," $70,000 ",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Middle Age,Yes
27494,Single,Female," $40,000 ",2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,53,Middle Age,Yes
26829,Maried,Female," $40,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Age,Yes
28395,Single,M," $40,000 ",0,Bachelors,Professional,No,0,0-1 Miles,Europe,39,Middle Age,Yes
21006,Single,Female," $30,000 ",1,Partial College,Manual,No,0,0-1 Miles,Europe,46,Middle Age,Yes
14682,Single,Female," $70,000 ",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,Middle Age,No
17650,Single,Female," $40,000 ",2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,35,Middle Age,No
29191,Single,Female," $130,000 ",1,Graduate Degree,Management,No,1,0-1 Miles,Pacific,36,Middle Age,Yes
15030,Maried,M," $20,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,26,Adolecent,Yes
24140,Single,M," $10,000 ",0,Graduate Degree,Manual,No,0,0-1 Miles,Europe,30,Adolecent,Yes
22496,Maried,Female," $30,000 ",1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,42,Middle Age,No
24065,Single,Female," $20,000 ",0,High School,Manual,Yes,0,0-1 Miles,Europe,40,Middle Age,Yes
19914,Maried,M," $80,000 ",5,Bachelors,Management,Yes,2,2-5 Miles,Europe,62,Old,No
12871,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,Adolecent,No
22988,Maried,Female," $40,000 ",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Old,Yes
15922,Maried,M," $150,000 ",2,High School,Professional,Yes,4,0-1 Miles,Europe,48,Middle Age,No
12344,Single,Female," $80,000 ",0,Bachelors,Professional,No,3,More than 10 miles,Pacific,31,Middle Age,No
23627,Single,Female," $100,000 ",3,Partial College,Management,No,4,5-10 Miles,Europe,56,Old,No
27775,Single,Female," $40,000 ",0,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Middle Age,Yes
29301,Maried,M," $80,000 ",5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,Middle Age,No
12716,Single,M," $30,000 ",0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,Middle Age,No
12472,Maried,M," $30,000 ",1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39,Middle Age,No
20970,Single,M," $10,000 ",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,52,Middle Age,Yes
26818,Single,M," $10,000 ",3,High School,Manual,Yes,1,0-1 Miles,Europe,39,Middle Age,Yes
12993,Maried,M," $60,000 ",2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,Middle Age,No
14192,Maried,M," $90,000 ",4,High School,Management,Yes,3,5-10 Miles,Europe,56,Old,Yes
19477,Maried,M," $40,000 ",0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,Middle Age,Yes
26796,Single,M," $40,000 ",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Old,Yes
21094,Single,Female," $30,000 ",2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,Middle Age,No
12234,Maried,M," $10,000 ",2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52,Middle Age,No
28683,Single,Female," $10,000 ",1,High School,Manual,No,1,5-10 Miles,Europe,35,Middle Age,Yes
17994,Single,M," $20,000 ",2,High School,Manual,Yes,2,0-1 Miles,Europe,42,Middle Age,No
24273,Maried,Female," $20,000 ",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Middle Age,Yes
26547,Single,Female," $30,000 ",2,Partial College,Clerical,No,2,5-10 Miles,Pacific,60,Old,Yes
22500,Single,M," $40,000 ",0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Middle Age,Yes
23993,Single,Female," $10,000 ",0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolecent,Yes
14832,Maried,M," $40,000 ",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Middle Age,Yes
16614,Maried,Female," $80,000 ",0,Bachelors,Professional,Yes,3,More than 10 miles,Pacific,32,Middle Age,No
20877,Single,M," $30,000 ",1,Bachelors,Clerical,Yes,0,1-2 Miles,Europe,37,Middle Age,Yes
20729,Maried,Female," $40,000 ",2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,Middle Age,No
22464,Maried,M," $40,000 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
19475,Maried,Female," $40,000 ",0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Middle Age,Yes
19675,Maried,M," $20,000 ",4,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,60,Old,No
12728,Single,M," $30,000 ",0,Partial College,Clerical,No,1,1-2 Miles,Europe,27,Adolecent,No
26154,Maried,M," $60,000 ",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,43,Middle Age,Yes
29117,Single,M," $100,000 ",1,Bachelors,Management,No,3,0-1 Miles,Pacific,48,Middle Age,No
17845,Single,Female," $20,000 ",0,Partial High School,Manual,No,2,1-2 Miles,Europe,32,Middle Age,No
25058,Maried,M," $100,000 ",1,Bachelors,Management,Yes,3,2-5 Miles,Pacific,47,Middle Age,No
23426,Single,M," $80,000 ",5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,Middle Age,No
14798,Single,Female," $10,000 ",4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,Middle Age,Yes
12664,Maried,Female," $130,000 ",5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,Old,No
23979,Single,M," $10,000 ",2,Partial College,Manual,No,0,0-1 Miles,Europe,50,Middle Age,No
25605,Single,Female," $20,000 ",2,Partial College,Manual,No,1,0-1 Miles,Europe,54,Middle Age,Yes
20797,Maried,Female," $10,000 ",1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,Middle Age,No
21980,Single,Female," $60,000 ",1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,44,Middle Age,Yes
25460,Maried,Female," $20,000 ",2,High School,Manual,Yes,0,0-1 Miles,Europe,40,Middle Age,Yes
29181,Single,Female," $60,000 ",2,Bachelors,Professional,No,1,0-1 Miles,Pacific,38,Middle Age,Yes
24279,Single,M," $40,000 ",2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,52,Middle Age,No
22402,Maried,M," $10,000 ",0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,25,Adolecent,Yes
15465,Maried,Female," $10,000 ",0,Partial College,Manual,No,1,0-1 Miles,Pacific,25,Adolecent,No
26757,Single,M," $90,000 ",1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Middle Age,Yes
14233,Single,M," $100,000 ",0,High School,Management,Yes,3,More than 10 miles,Pacific,35,Middle Age,No
14058,Single,M," $70,000 ",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,Middle Age,Yes
12273,Maried,M," $30,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Middle Age,No
17203,Maried,Female," $130,000 ",4,Partial College,Professional,Yes,4,5-10 Miles,Europe,61,Old,Yes
18144,Maried,Female," $80,000 ",5,Bachelors,Management,Yes,2,2-5 Miles,Europe,61,Old,No
23963,Maried,M," $10,000 ",0,Partial High School,Manual,No,2,0-1 Miles,Europe,33,Middle Age,No
17907,Maried,Female," $10,000 ",0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,27,Adolecent,No
19442,Single,M," $50,000 ",0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
17504,Single,Female," $80,000 ",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Middle Age,Yes
12253,Single,Female," $20,000 ",0,Partial College,Manual,Yes,0,0-1 Miles,Pacific,29,Adolecent,Yes
27304,Single,Female," $110,000 ",2,Partial College,Professional,No,3,5-10 Miles,Europe,48,Middle Age,No
14191,Maried,M," $160,000 ",4,Partial College,Professional,No,2,More than 10 miles,Europe,55,Middle Age,Yes
12212,Maried,Female," $10,000 ",0,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
25529,Single,M," $10,000 ",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44,Middle Age,No
22170,Maried,Female," $30,000 ",3,Partial College,Clerical,No,2,1-2 Miles,Pacific,55,Middle Age,Yes
19445,Maried,Female," $10,000 ",2,High School,Manual,No,1,0-1 Miles,Europe,38,Middle Age,No
15265,Single,M," $40,000 ",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Old,Yes
28918,Maried,Female," $130,000 ",4,High School,Management,No,4,More than 10 miles,Europe,58,Old,No
15799,Maried,Female," $90,000 ",1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Middle Age,Yes
11047,Maried,Female," $30,000 ",3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,56,Old,Yes
18151,Single,M," $80,000 ",5,Partial College,Professional,No,2,More than 10 miles,Europe,59,Old,No
20606,Maried,Female," $70,000 ",0,Bachelors,Professional,Yes,4,More than 10 miles,Pacific,32,Middle Age,Yes
19482,Maried,M," $30,000 ",1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,44,Middle Age,Yes
16489,Maried,M," $30,000 ",3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,Middle Age,No
26944,Single,M," $90,000 ",2,High School,Manual,Yes,0,0-1 Miles,Europe,36,Middle Age,Yes
15682,Single,Female," $80,000 ",5,Bachelors,Management,Yes,2,More than 10 miles,Europe,62,Old,No
26032,Maried,Female," $70,000 ",5,Bachelors,Professional,Yes,4,More than 10 miles,Pacific,41,Middle Age,No
17843,Single,Female," $10,000 ",0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,Middle Age,No
25559,Single,M," $20,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,25,Adolecent,Yes
16209,Single,Female," $50,000 ",0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,Europe,36,Middle Age,No
11147,Maried,M," $60,000 ",2,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,67,Old,Yes
15214,Single,Female," $100,000 ",0,Graduate Degree,Management,No,1,1-2 Miles,Pacific,39,Middle Age,Yes
11453,Single,M," $80,000 ",0,Bachelors,Professional,No,3,More than 10 miles,Pacific,33,Middle Age,Yes
24584,Single,M," $60,000 ",0,Bachelors,Professional,No,3,2-5 Miles,Pacific,31,Middle Age,No
12585,Maried,M," $10,000 ",1,High School,Manual,Yes,0,2-5 Miles,Pacific,27,Adolecent,Yes
18626,Single,M," $40,000 ",2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,33,Middle Age,Yes
29298,Single,Female," $60,000 ",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Middle Age,Yes
24842,Single,Female," $90,000 ",3,High School,Professional,No,1,2-5 Miles,Europe,51,Middle Age,No
15657,Maried,M," $30,000 ",3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,Middle Age,Yes
11415,Single,M," $90,000 ",5,Partial College,Professional,No,2,More than 10 miles,Europe,62,Old,No
28729,Single,Female," $20,000 ",0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,26,Adolecent,Yes
22633,Single,Female," $40,000 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
25649,Single,Female," $30,000 ",3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,42,Middle Age,Yes
14669,Maried,Female," $80,000 ",4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,Middle Age,No
19299,Maried,Female," $50,000 ",0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Middle Age,Yes
20946,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,Adolecent,No
11451,Single,M," $70,000 ",0,Bachelors,Professional,No,4,More than 10 miles,Pacific,31,Middle Age,Yes
25553,Maried,M," $30,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,Old,Yes
27951,Single,M," $80,000 ",4,Partial College,Professional,No,2,2-5 Miles,Europe,54,Middle Age,Yes
25026,Maried,M," $20,000 ",2,Partial High School,Clerical,Yes,3,5-10 Miles,Pacific,54,Middle Age,No
13673,Single,Female," $20,000 ",0,Partial High School,Manual,No,2,0-1 Miles,Europe,25,Adolecent,No
16043,Single,M," $10,000 ",1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,Middle Age,No
22399,Single,M," $10,000 ",0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Adolecent,Yes
27696,Maried,M," $60,000 ",1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,43,Middle Age,Yes
25313,Single,M," $10,000 ",0,Partial High School,Manual,No,2,1-2 Miles,Europe,35,Middle Age,No
13813,Maried,Female," $30,000 ",3,Partial College,Clerical,No,0,0-1 Miles,Europe,42,Middle Age,No
18711,Single,Female," $70,000 ",5,Bachelors,Professional,Yes,4,More than 10 miles,Pacific,39,Middle Age,No
19650,Maried,Female," $30,000 ",2,Partial College,Clerical,No,2,0-1 Miles,Pacific,67,Old,No
14135,Maried,M," $20,000 ",1,Partial College,Manual,Yes,0,1-2 Miles,Europe,35,Middle Age,No
12833,Single,Female," $20,000 ",3,High School,Manual,Yes,1,0-1 Miles,Europe,42,Middle Age,Yes
26849,Maried,M," $10,000 ",3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,Middle Age,No
20962,Maried,Female," $20,000 ",1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Middle Age,No
28915,Single,M," $80,000 ",5,High School,Management,Yes,3,More than 10 miles,Europe,57,Old,No
22830,Maried,M," $120,000 ",4,Partial College,Management,Yes,3,More than 10 miles,Europe,56,Old,No
14777,Maried,Female," $40,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Age,Yes
12591,Maried,Female," $30,000 ",4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Middle Age,No
24174,Maried,M," $20,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,27,Adolecent,Yes
24611,Single,M," $90,000 ",0,Bachelors,Professional,No,4,More than 10 miles,Pacific,35,Middle Age,Yes
11340,Maried,Female," $10,000 ",1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,Old,Yes
25693,Single,Female," $30,000 ",5,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,Middle Age,Yes
25555,Maried,Female," $10,000 ",0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolecent,Yes
22006,Maried,M," $70,000 ",5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,46,Middle Age,No
20060,Single,Female," $30,000 ",0,High School,Manual,No,1,2-5 Miles,Europe,34,Middle Age,Yes
17702,Maried,M," $10,000 ",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,Middle Age,No
12503,Single,Female," $30,000 ",3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,Adolecent,No
23908,Single,M," $30,000 ",1,Bachelors,Clerical,No,1,0-1 Miles,Europe,39,Middle Age,Yes
22527,Single,Female," $20,000 ",0,High School,Manual,No,1,2-5 Miles,Europe,29,Adolecent,No
19057,Maried,Female," $120,000 ",3,Bachelors,Management,No,2,More than 10 miles,Europe,52,Middle Age,Yes
18494,Maried,M," $110,000 ",5,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48,Middle Age,Yes
11249,Maried,Female," $130,000 ",3,Partial College,Professional,Yes,3,0-1 Miles,Europe,51,Middle Age,Yes
